Acceleration,Battery,Brand,Drive,Efficiency,Fastcharge,Market_Segment,Model,Price_GE,Price_Nl,Price_UK,Range,Seat,Topspeed,Tow_Capacity
12.1 sec,45,Citroen,Front Wheel Drive,250 Wh/km,290 km/h,N,e-Jumpy Combi M 50 kWh,"€51,940","€48,353","£31,795",180 km,9,130 km/h,1000
3.3 sec,83.7,Porsche,All Wheel Drive,209 Wh/km,980 km/h,F,Taycan Turbo Cross Turismo,"€157,776","€163,900","£120,900",400 km,4,250 km/h,
3.2 sec,83.7,Porsche,All Wheel Drive,207 Wh/km,1000 km/h,F,Taycan Turbo Sport Turismo,"€157,300","€163,300","£120,900",405 km,4,260 km/h,
12.0 sec,60,Mercedes,Front Wheel Drive,286 Wh/km,310 km/h,N,eVito Tourer Long 60 kWh,"€60,678",N/A,N/A,210 km,9,160 km/h,
12.1 sec,45,Fiat,Front Wheel Drive,250 Wh/km,290 km/h,N,E-Ulysse L2 50 kWh,"€55,990",N/A,N/A,180 km,8,130 km/h,1000
13.3 sec,68,Citroen,Front Wheel Drive,262 Wh/km,280 km/h,N,e-Jumpy Combi XL 75 kWh,"€58,730","€59,303",N/A,260 km,9,130 km/h,1000
13.3 sec,68,Fiat,Front Wheel Drive,257 Wh/km,290 km/h,N,E-Ulysse L2 75 kWh,"€61,990",N/A,N/A,265 km,8,130 km/h,1000
12.1 sec,45,Toyota,Front Wheel Drive,257 Wh/km,280 km/h,N,PROACE Shuttle L 50 kWh,N/A,"€68,545",N/A,175 km,9,130 km/h,1000
12.1 sec,45,Fiat,Front Wheel Drive,257 Wh/km,280 km/h,N,E-Ulysse L3 50 kWh,"€56,990",N/A,N/A,175 km,8,130 km/h,1000
12.1 sec,45,Citroen,Front Wheel Drive,257 Wh/km,280 km/h,N,e-Jumpy Combi XL 50 kWh,"€52,730","€50,289","£31,995",175 km,9,130 km/h,1000
12.0 sec,60,Mercedes,Front Wheel Drive,293 Wh/km,190 km/h,N,EQV 250 Extra-Long,"€68,949",N/A,N/A,205 km,7,160 km/h,
13.3 sec,68,Opel,Front Wheel Drive,262 Wh/km,280 km/h,N,Vivaro-e Combi L 75 kWh,"€57,775","€56,911",N/A,260 km,9,130 km/h,1000
12.1 sec,45,Toyota,Front Wheel Drive,257 Wh/km,280 km/h,N,PROACE Shuttle M 50 kWh,N/A,"€58,845",N/A,175 km,9,130 km/h,1000
12.1 sec,45,Citroen,Front Wheel Drive,257 Wh/km,280 km/h,N,e-SpaceTourer XL 50 kWh,"€54,430","€59,364","£48,335",175 km,9,130 km/h,1000
14.3 sec,68,Peugeot,Front Wheel Drive,257 Wh/km,290 km/h,N,e-Traveller Standard 75 kWh,"€59,640","€66,442",N/A,265 km,9,130 km/h,1000
13.3 sec,68,Citroen,Front Wheel Drive,262 Wh/km,280 km/h,N,e-SpaceTourer XL 75 kWh,"€60,430","€68,378",N/A,260 km,9,130 km/h,1000
12.1 sec,45,Opel,Front Wheel Drive,257 Wh/km,280 km/h,N,Vivaro-e Combi L 50 kWh,"€51,825","€48,380","£31,995",175 km,9,130 km/h,1000
13.1 sec,45,Peugeot,Front Wheel Drive,250 Wh/km,290 km/h,N,e-Expert Combi Standard 50 kWh,"€51,940","€48,353",N/A,180 km,9,130 km/h,1000
12.0 sec,60,Mercedes,Front Wheel Drive,293 Wh/km,300 km/h,N,eVito Tourer Extra-Long 60 kWh,"€61,571",N/A,N/A,205 km,9,160 km/h,
13.3 sec,68,Opel,Front Wheel Drive,257 Wh/km,290 km/h,N,Zafira-e Life M 75 kWh,"€69,250","€65,078",N/A,265 km,9,130 km/h,1000
12.1 sec,45,Opel,Front Wheel Drive,257 Wh/km,280 km/h,N,Zafira-e Life L 50 kWh,"€64,075","€57,637","£49,465",175 km,9,130 km/h,1000
12.1 sec,45,Opel,Front Wheel Drive,250 Wh/km,290 km/h,N,Zafira-e Life M 50 kWh,"€63,250","€56,124","£49,105",180 km,9,130 km/h,1000
13.1 sec,45,Peugeot,Front Wheel Drive,257 Wh/km,280 km/h,N,e-Traveller Long 50 kWh,"€54,430","€59,364","£54,275",175 km,9,130 km/h,1000
13.1 sec,45,Peugeot,Front Wheel Drive,257 Wh/km,280 km/h,N,e-Expert Combi Long 50 kWh,"€52,730","€50,289",N/A,175 km,9,130 km/h,1000
